                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.062,                0.77254,                0.90041,                0.92264,                0.73958,                0.71796,                0.54591,                0.86165,                0.72801,                0.85307,              0.0012067,              0.0012067,              0.0012067
                     37,                  1.111,                0.79676,                   0.92,                0.94209,                0.71668,                0.72176,                0.52611,                 1.0145,                0.71057,                 0.8663,              0.0012055,              0.0012055,              0.0012055
                     38,                 1.0473,                0.74346,                0.90202,                0.91578,                0.71654,                0.72334,                0.57611,                0.80717,                0.68216,                0.84454,              0.0012042,              0.0012042,              0.0012042
                     39,                 1.1404,                0.77977,                0.90654,                0.94484,                0.72414,                0.72139,                0.52919,                0.91464,                0.71247,                0.86649,               0.001203,               0.001203,               0.001203
                     40,                 1.0442,                0.71963,                0.89219,                0.94346,                0.70019,                0.72335,                0.50845,                0.96877,                0.70797,                0.86497,              0.0012017,              0.0012017,              0.0012017
                     41,                 1.2204,                0.77488,                0.91336,                0.91986,                0.68498,                0.71872,                0.44226,                 1.5301,                0.82419,                0.92206,              0.0012005,              0.0012005,              0.0012005
                     42,                 1.1523,                0.77659,                0.91286,                0.93695,                0.73543,                0.72967,                0.53835,                0.89938,                0.73851,                 0.8657,              0.0011993,              0.0011993,              0.0011993
                     43,                 1.0814,                0.76586,                0.89396,                0.94627,                0.70868,                0.72354,                 0.5382,                0.96508,                 0.8485,                0.88182,               0.001198,               0.001198,               0.001198
                     44,                 1.0667,                0.74918,                 0.8989,                 0.9502,                0.73229,                0.72289,                0.53046,                0.91893,                0.65127,                0.85692,              0.0011968,              0.0011968,              0.0011968
                     45,                0.96697,                0.70183,                0.87973,                0.69074,                 0.7379,                0.72685,                0.54874,                0.91677,                 7.1226,                0.82019,              0.0011955,              0.0011955,              0.0011955
                     46,                0.99944,                0.69271,                0.89551,                0.94691,                0.64284,                0.71636,                 0.4988,                 1.1467,                0.68057,                0.87291,              0.0011943,              0.0011943,              0.0011943
                     47,                0.96306,                0.70345,                0.89058,                0.92161,                0.73971,                0.72352,                0.50671,                 1.0272,                0.73574,                0.86599,              0.0011931,              0.0011931,              0.0011931
