                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62638,                0.47291,                0.78394,                0.97113,                0.72717,                0.72651,                0.65088,                0.56082,                0.50225,                0.75423,              0.0012067,              0.0012067,              0.0012067
                     37,                 0.5824,                0.45435,                0.78738,                0.97007,                0.72512,                0.72853,                0.65824,                0.48742,                0.46959,                0.75449,              0.0012055,              0.0012055,              0.0012055
                     38,                0.57795,                0.44319,                0.78312,                0.97528,                0.72371,                0.72786,                0.66662,                0.43094,                0.44186,                0.74838,              0.0012042,              0.0012042,              0.0012042
                     39,                0.61607,                0.44884,                0.78515,                0.72308,                 0.7306,                0.72816,                0.62394,                0.59757,                0.46789,                0.75579,               0.001203,               0.001203,               0.001203
                     40,                0.59237,                 0.4383,                0.78162,                0.96846,                0.73177,                0.72772,                0.64496,                0.55165,                0.46466,                0.75378,              0.0012017,              0.0012017,              0.0012017
                     41,                0.59135,                0.42429,                0.78737,                 0.9626,                0.72987,                0.72244,                0.64306,                0.53861,                  0.447,                0.75578,              0.0012005,              0.0012005,              0.0012005
                     42,                0.57705,                0.43547,                0.78816,                0.96658,                0.73261,                0.73085,                0.65715,                0.50293,                0.46906,                0.75002,              0.0011993,              0.0011993,              0.0011993
                     43,                0.57525,                0.44089,                0.78381,                0.95923,                0.73363,                0.72937,                0.66925,                0.42944,                0.45158,                0.74562,               0.001198,               0.001198,               0.001198
                     44,                0.54642,                0.42435,                0.78659,                0.94669,                0.74017,                0.72882,                0.67426,                0.42355,                0.43841,                0.74789,              0.0011968,              0.0011968,              0.0011968
                     45,                0.57134,                0.42795,                0.78583,                0.97756,                0.72723,                0.73216,                   0.67,                0.43735,                0.43856,                0.74846,              0.0011955,              0.0011955,              0.0011955
                     46,                0.55356,                0.41904,                0.78805,                0.94984,                0.72943,                0.72649,                0.67064,                0.44808,                0.43427,                0.74677,              0.0011943,              0.0011943,              0.0011943
                     47,                0.53941,                0.41304,                0.78098,                0.94976,                 0.7375,                0.76638,                0.69434,                0.46275,                0.45384,                0.74966,              0.0011931,              0.0011931,              0.0011931
                     48,                0.60355,                0.42978,                0.78549,                 0.9592,                0.71482,                0.76234,                0.67511,                0.54912,                0.46356,                0.75329,              0.0011918,              0.0011918,              0.0011918
                     49,                0.59728,                0.43105,                0.79007,                0.96623,                0.71851,                0.72359,                0.63897,                 0.5745,                0.49871,                0.74943,              0.0011906,              0.0011906,              0.0011906
                     50,                0.59589,                0.41636,                0.78782,                0.96753,                 0.7278,                0.72437,                0.65532,                0.45565,                0.43096,                0.74858,              0.0011894,              0.0011894,              0.0011894
                     51,                0.57562,                0.42026,                0.78053,                 0.9456,                0.74062,                 0.7212,                0.66072,                0.43517,                0.42104,                0.74843,              0.0011881,              0.0011881,              0.0011881
                     52,                0.58089,                0.41035,                0.78686,                 0.9584,                0.73455,                0.72436,                0.62795,                0.64278,                0.47709,                0.75593,              0.0011869,              0.0011869,              0.0011869
                     53,                 0.5564,                0.40048,                0.78047,                0.94706,                0.74062,                0.72637,                0.62391,                0.64087,                0.47997,                0.75415,              0.0011856,              0.0011856,              0.0011856
                     54,                0.57768,                0.40825,                0.78515,                0.95268,                0.73299,                0.72236,                0.65792,                0.44992,                0.43966,                0.75152,              0.0011844,              0.0011844,              0.0011844
                     55,                0.56642,                0.40097,                0.79289,                0.96467,                0.73954,                0.72519,                0.67261,                0.41627,                0.42699,                0.74807,              0.0011832,              0.0011832,              0.0011832
                     56,                0.59359,                0.40809,                0.78792,                0.95179,                0.72628,                0.72158,                0.63755,                0.59074,                0.46699,                 0.7566,              0.0011819,              0.0011819,              0.0011819
                     57,                0.56171,                0.40594,                0.78646,                0.96186,                0.72008,                 0.7183,                0.63181,                0.58439,                0.47548,                 0.7568,              0.0011807,              0.0011807,              0.0011807
                     58,                0.52769,                0.39885,                0.78405,                0.95339,                0.73834,                0.71653,                0.62819,                0.57961,                0.47594,                0.75705,              0.0011795,              0.0011795,              0.0011795
                     59,                0.53161,                0.39199,                0.78287,                0.96261,                0.71794,                0.71555,                0.64053,                0.51961,                0.44462,                0.74984,              0.0011782,              0.0011782,              0.0011782
                     60,                0.52048,                0.38947,                0.78508,                0.95578,                0.72688,                0.71769,                  0.643,                0.51898,                0.45283,                0.74986,               0.001177,               0.001177,               0.001177
                     61,                0.54921,                0.39428,                0.78444,                0.94548,                 0.7372,                 0.7209,                 0.6615,                0.44224,                0.46418,                 0.7451,              0.0011757,              0.0011757,              0.0011757
                     62,                0.52766,                0.38418,                0.78744,                0.94313,                0.73894,                0.72167,                0.64809,                0.49554,                0.47665,                 0.7463,              0.0011745,              0.0011745,              0.0011745
                     63,                0.56471,                0.38752,                0.78077,                0.94732,                0.72824,                0.71716,                0.62337,                0.62452,                0.48972,                0.75266,              0.0011733,              0.0011733,              0.0011733
                     64,                0.56041,                0.38517,                0.78485,                0.95294,                0.73765,                0.97259,                0.88612,                0.44708,                0.43273,                0.74741,               0.001172,               0.001172,               0.001172
                     65,                 0.5533,                0.38489,                0.78088,                0.94173,                0.74062,                0.97243,                0.85922,                0.48541,                0.44135,                0.74909,              0.0011708,              0.0011708,              0.0011708
                     66,                0.52306,                0.38278,                0.78357,                0.95669,                0.72742,                0.72458,                0.65752,                0.44342,                0.44733,                0.74681,              0.0011696,              0.0011696,              0.0011696
                     67,                0.55677,                0.38051,                0.78356,                0.95472,                0.73067,                0.71499,                0.65675,                0.44831,                0.45948,                0.74813,              0.0011683,              0.0011683,              0.0011683
                     68,                0.60368,                0.40797,                0.78714,                0.94183,                0.73428,                0.71806,                0.62188,                0.61609,                0.49025,                0.75146,              0.0011671,              0.0011671,              0.0011671
                     69,                0.56799,                0.39339,                0.77894,                 0.9634,                0.73981,                0.72326,                0.65518,                0.44707,                0.44476,                0.74585,              0.0011658,              0.0011658,              0.0011658
                     70,                0.51199,                0.37105,                0.78587,                0.95615,                0.73845,                0.72186,                 0.6558,                0.44846,                0.41996,                0.74828,              0.0011646,              0.0011646,              0.0011646
                     71,                0.50453,                0.35883,                0.78415,                0.95688,                0.73858,                0.72498,                 0.6425,                0.48475,                0.43065,                0.74622,              0.0011634,              0.0011634,              0.0011634
                     72,                0.52208,                0.36605,                0.77968,                0.94767,                0.73768,                0.72261,                0.64206,                0.54446,                0.44201,                0.74661,              0.0011621,              0.0011621,              0.0011621
